tag	category	datasets	note
(Spodoptera frugiperda		fallworm	
(Spodoptera frugiperda)		fallworm	
16S	gene	PhD_proposal	marker gene used as a method? (gene/method)
ac78	gene	fallworm	
ace-1	gene	fallworm	
AcMNPV	species	fallworm	
Acropora	species	microalgae	
Acropora millepora	species	microalgae	
Aeschynanthus longicaulis	species	microalgae	
Agaricia lamarcki	species	microalgae	
Agrotis ipsilon	species	fallworm	
Anabaena	species	microalgae	
anti-shortread	theme	PhD_proposal	
Arabidopsis	species	microalgae	
Arabidopsis thaliana	species	microalgae	
Arachis hypogaea	species	fallworm	
ARCHAIAS ANGULATUS	species	microalgae	
Ariolimax columbianus	species	fallworm	
Arthrospira	species	microalgae	
Arthrospira platensis	species	microalgae	
Astrangia poculata	species	fallworm	
Autographa californica	species	fallworm	
Azadirachta indica	species	fallworm	
b 6 f	gene	microalgae	
B. thuringiensis	species	fallworm	
Bacillus amyloliquefaciens	species	fallworm	
Bacillus Thuringiensis	species	fallworm	
Bacillus thuringiensis	species	fallworm	
Bacillus thuringiensis Vip3Aa	gene	fallworm	species+gene combo -> tagged gene
Bathymodiolus	species	fallworm	
Beauveria bassiana	species	fallworm	
Bifidobacterium spp	species	fallworm	
Brachyspira	species	fallworm	
Bracon brevicornis	species	fallworm	
Bradyrhizobium	species	PhD_proposal	
Bt‐resistant	theme	fallworm	
C. tuberculostearicum	species	fallworm	
Callgonum mongolicum	species	microalgae	
Candidatus		fallworm	taxonomic rank prefix only -> left blank
Carapa guianensis	species	fallworm	
Carassius auratus gibelio	species	microalgae	
Carica papaya	species	fallworm	
Caspase-	gene	fallworm	truncated gene name
Caulerpa cylindracea	species	microalgae	
Chelonus	species	fallworm	
Chelonus formosanus	species	fallworm	
Chlamydomonas	species	microalgae	
Chlamydomonas moewusii	species	microalgae	
Chlamydomonas reinhardtii	species	microalgae	
Chlorella	species	microalgae	
Chlorella minutissima	species	microalgae	
Chlorella sorokiniana	species	microalgae	
Chlorella Vulgaris	species	microalgae	
Chlorella vulgaris	species	microalgae	
CHS2	gene	fallworm	
Cistanche deserticola	species	microalgae	
Citrus junos	species	microalgae	
Cladocora caespitosa	species	microalgae	
CO2	theme	microalgae	substrate/concept -> theme (or blank)
community-roles	theme	PhD_proposal	
Corallina	species	microalgae	
Cordyceps fumosorosea	species	fallworm	
Cotesia flavipes	species	fallworm	
Craterostigma pumilum	species	microalgae	
cry	gene	fallworm	
Cry1Ab	gene	fallworm	
Cry1Ca	gene	fallworm	
Cry1Fa	gene	fallworm	
Cry2Aa	gene	fallworm	
Cry2Ab	gene	fallworm	
Cymodocea nodosa	species	microalgae	
CYP321A8	gene	fallworm	
CYP321A9	gene	fallworm	
CYP450	gene	fallworm	
CYP9A58	gene	fallworm	
data-coverage	theme	PhD_proposal	
Dermatophagoides farinae	species	microalgae	
Desmodesmus sp	species	microalgae	
Diabrotica speciosa	species	fallworm	
Diaphorencyrtus aligarhensis	species	fallworm	
Diaphorina citri	species	fallworm	
Diatraea saccharalis	species	fallworm	
DNMTs	gene	fallworm	
Drosophila melanogaster	species	fallworm	
dunaliella	species	microalgae	genus, lowercased -> species
Durvillaea antarctica	species	microalgae	
Ecklonia radiata	species	microalgae	
ecological model	method	PhD_proposal	modelling approach -> method (or theme)
Eiphosoma	species	fallworm	
Elaphoglossum luridum	species	microalgae	
emalionopsis tortuosa		microalgae	
